Title,Release Date,Platform,Developer,Genre,Content
Boulder Dash Original,1984,Various,First Star Software,Maze,"Boulder Dash took the design of arcade titles Dig Dug and Mr. Do—which feature two-dimensional maps and the player character tunneling through earth, avoiding enemies, and falling rocks (or, in Mr. Do’s case, apples)—and simplified it for home formats of the time. In doing so it created one of gaming’s most enduring franchises. Game play is simplicity itself. Taking the role of Rockford (a hero who, thanks to hardware limitations, looks more like a pixelated version of an anthropomorphic frog), the player tunnels around levels, collecting diamonds while avoiding tumbling boulders. Unlike Dig Dug’s Taizo Hori or Mr. Do, Rockford has no way to protect himself directly, so must use his wits to create a maze for his enemies, carefully timing chases to make sure they end up on the business end of a falling rock. Unusual in the video game industry as a title that has maintained the same rights holder since its inception—First Star Software still sells versions of the title to this day—Boulder Dash has received almost as many official sequels as it has clones, with often superb and usually wildly different ports to most home platforms, through Game Boy Advance to iPhone and iPod Touch. Boulder Dash endures because unlike many of its contemporaries, it features no combat, and unlike other nonviolent titles, it allows players a variety of options to deal with threats: You create your own maze rather than simply navigate a predetermined one. It therefore requires a fine balance of on-the-fly puzzle solving and sharp reflexes, and ensures that any mistakes always feel like your own fault. As fresh and playable now as it was twenty years ago, Boulder Dash is a diamond well worth digging out."
Bounty Bob Strikes Back Original,1984,Various,Big Five Software,Platform,"In the family tree of video game genre, lines can be drawn from Bounty Bob Strikes Back to its predecessor, Miner 2049er, and to the vaunted Miner Willy series that took Big Five’s passion project as its inspiration. Though Bounty Bob Strikes Back may be one of gaming’s first true sequels, the real narrative lies in its development. Forged in the fires of the emergent 1980s technology that encouraged so much experimentation in video game development, the partnership of programmer Bill Hogue and designer Jeff Konyu caused a miniature media tidal wave, elevating the duo to temporary celebrity. Meticulously traversing splintered platforms, lighting them up for points, and treading on a few enemy heads along the way, Bounty Bob is filled with design ingenuity. Expositional details left behind by other miners pave the way for Bob’s journey back toward the heart of darkness he faced in Miner 2049er: the lurking Yukon Yohan. They are cursory details not easily identified in the archaic engine, but it’s a decision that belies a level of world-building coherence carried on by developers ever since. The use of Bounty Bob’s name in a sequel, and its underwhelming reception, leading ultimately to its studio’s exit from the industry, could be argued as a small-scale harbinger of where the video game model would later lead. That isn’t to deny Bounty Bob’s quality: more detailed, dense, and challenging across its twenty-five levels, it’s superior to its progenitor in both looks and technical achievement. The implementation of vertical scrolling for level transitions was a minor revelation, and links sections into a singular chain, soldering coherence to Bounty Bob’s underground quest. It also seamlessly nudges users into continuous play—and, of course, some manic mining."
Braid Original,2008,"PC, Xbox 360 ",Jonathan Blow,Puzzle / Platform,"A high watermark for cerebral puzzlers, or a platformer with ideas above its station? Braid provides fuel for both its fans and detractors, but the argument over its artistic pretensions must always take a backseat to its mechanical excellence as a game. A platformer that depends on Mario’s tropes while simultaneously satirizing them, its key idea is time: If you can rewind your mistakes, you don’t need to worry about making them. Braid’s variations and growth of this central mechanic should be a set text in every game-design course. At first it’s as simple as rewinding. Then you play levels where your own movement left and right causes time to proceed or reverse. The ability to spawn doppelgangers, reversing time to solve a puzzle with your earlier self, is soon in play. Then there are pockets of time that can be dropped and picked up, placing one element in a bubble as the rest of the world moves on. The puzzles created around these abilities are often miniature masterpieces of their own, depending on lateral thinking much more than the ability to gauge a jump. Each puzzle’s completion wins you a jigsaw piece, which goes to make up each world’s individual picture, part of an allegorical story draped over the game. At once an elegy for love lost, it’s simultaneously a portrait of myopia and obsession, with a weighty and sometimes ponderous subtext about the creation of the atom bomb—a whole metagame, and one that mocks those players brave enough to undertake it, demanding hours of investment for little reward other than making this subtext obvious. Demanding of players in all the right ways, but also occasionally condescending toward the tropes on which it (and they) rely, Braid is a singular experience."
Breakout Original,1976,Various,Atari,Action,"Nearly four decades on and video games still regularly draw inspiration from Atari’s formative, blockbusting arcade game. In a very real way, Breakout defined the proto-vocabulary of its medium: taking the paddle and ball of Pong’s redacted approximation of table tennis and repurposing it into something unique, novel, and only possible in a video game. Conceptualized by Atari founder, Nolan Bushnell, and one of the company’s most influential engineers, Steve Bristow, the top third of Breakout’s screen is lined with bricks. You bounce a ball off these bricks to make them disappear, one by one, catching the ball on its rebound with a sliding paddle to prevent it from disappearing off the bottom of the screen. The skill comes in directing your shots in such a way as to hit the remaining bricks at the top of the screen, scaling up from Pong’s need to simply hit the ball to take into greater account the angle at which you strike it. Walls too must be used to bounce the ball around the play area, introducing yet more scope for strategy and showboating. Originally played on a black-and-white monitor in arcades, cabinet screens had strips of tinted acetate applied to give the impression of color. Increased difficulty was introduced to the game by having the paddle shrink to half its size once the ball has broken through the top row of bricks and hit the top of the play area. The understated elegance of both the core idea and its execution ensures that Breakout remains a playable classic to this day. One of the cornerstones of the medium of sports games, its influence can be felt in countless contemporary titles from PopCap’s pachinko hybrid Peggle to Q-Games’ Reflect Missile."
Breath of Fire II Original,1994,SNES,Capcom,Role-Playing,"Breath of Fire II is an RPG great on a console crammed full of them. Released on the SNES, it joins the likes of Secret of Mana, the Final Fantasy series, Chrono Trigger, and the original Breath of Fire at the very top of its chosen genre. It takes place 500 years after the end of the original game to tell the story of Ryu Bateson, a blue-haired boy hero on a quest for justice, which is launched when his friend is framed for a crime he didn’t commit. The game picks up the day/night cycle from its predecessor, which sees the world and its inhabitants transform with every sunset, and it features the turn-based, random encounters that are a staple element of the Japanese RPG genre. Picking the right formation is a crucial part of combat strategy, while another key feature is each character’s special ability, such as Ryu’s dragon transformations or Bow’s fusion form as a giant, cannonball-launching mech. One of the best things about the game is the way the world is gradually opened up. Each party member has a unique skill that they can use outside of the normal course of play, so fishing and hunting skills, for example, unlock different mini-games. But the ability to swim or bridge chasms allows the party to access more of the increasingly vast game world, and it’s the pacing of exploration that is one of the game’s greatest strengths. Another is the way the game prefigures the Dark Cloud series by giving you the ability to build your very own town, choosing its architectural style, and gradually filling it with non-player characters that can help you on the main mission—a mission with multiple endings, depending on how effectively you steer Ryu and friends on one of the classic quests of 16-bit storytelling."
Broken Sword: The Shadow of the Templars Original,1996,Various,Revolution Software,Adventure,"Straying from the tongue-in-cheek LucasArts heritage of the point-and-click genre, Revolution Studios fabricates a tangible world of mystery rooted in historical fact with the Broken Sword video game series. Everyman protagonist George Stobbart leads an immersive narrative that draws threads of classic crime stories into a tapestry of animated adventure, journeying from thriller to character drama with ease. The physical travels of Stobbart and journalist Nico Collard, as they race to solve a murder shrouded in conspiracy, underpins the title’s other main draw: its locales. The interactive backdrops of Broken Sword create both an intricate sense of place and the lure of the unknown. The Paris opening, the most layered and attractive, awash with autumnal hues, sets a bar that subsequent scenarios cannot quite reach, though. Additionally, for all the faithfulness to architecture and nuances of the picturesque, the puzzles themselves occasionally verge on incoherent (using a cat to obtain an essential object, for example)—an inherent foible of the genre, perhaps, but no less a confounding frustration. The high level production values aren’t limited to visuals. Television and film composer Barrington Pheloung’s score punctuates Broken Sword’s slow burn with sparks of orchestral grace. It’s the juxtaposition of the quiet, contemplative investigation and creeping, cued diegetic sound that conjures the conspiratorial atmosphere and makes it stick long in the memory. More than a puzzle quest for answers, Broken Sword is a key example of informed, engrossing virtual tourism to be filed alongside the likes of Myst. Visually stimulating in motion and rewarding in practice, it is a measured, captivating story intelligently and beautifully told."
Bubble Bobble Original,1986,Arcade,Taito,Platform,"Before Super Mario Bros., there was plain old Mario Bros., a game in which the brothers jumped around a static screen of vertical platforms, dodging enemies and occasionally working together to clear the screens. Nintendo and Shigeru Miyamoto soon left this design behind to revolutionize the platformer, but Taito didn’t forget it. In 1986, Bubble Bobble took the basic idea of Mario Bros.— which was a pretty decent game in its own right—and made a classic out of it. The premise is delightfully simple: two dinosaur brothers, Bub and Bob, have to clear each screen of enemies by trapping them in bubbles, which can then be popped with a touch. As every good boy knows, of course, this not only kills an enemy but converts them into point-scoring fruit. If it isn’t done quickly enough, then the baddies will escape in an enraged form. There’s no more to Bubble Bobble than this, taking place over a variety of different levels. But the push-and-pull dynamic created by its capturing, popping, and running wasn’t only distinct from the period’s usual offerings, but could be shared simultaneously with another player. The spritework is simple but characterful, and the surreal world it creates is a big part of Bubble Bobbie’s charm. It also masks the difficulty: This is an arcade game, and after a few easy screens, it lets you know exactly what that means (although the later console conversions would tone down the challenge somewhat). For all that it’s a great game inspired by a merely good one, Bubble Bobble was not, in itself, hugely influential—with the possible exception of the magnificent sequel Rainbow Islands. Between them, perhaps, they simply managed to perfect the formula."
Buggy Boy Original,1986,Arcade,Tatsumi,Driving,"Although ported to various home formats, the best way to experience Buggy Boy is via the original deluxe arcade cabinet and its panoramic three-screen display. The colorful graphics, exotic locales, and genuine sense of speed were a challenge to OutRun, and while Buggy Boy isn’t revered in quite the same way as Sega’s classic of the same year, it remains a key title in the racing genre’s timeline. Introducing jumps and banked curves, Buggy Boy doesn’t tether the player to the track like other racers, and the vehicle’s constant bouncing reinforces the sense of driving off-road, not just on different-colored tarmac. Five tracks are available, of which all but one are point-to-point. A clock ticks down to as you drive, but time can be added by completing the stages that make up each course or driving through the buggy-width time gates. While racing lines are important, they are confounded by a litany of obstacles along the way: colliding with smaller detritus will send your vehicle skyward or onto two wheels; crashing into anything larger will result in a tumble, and the need to shift from “Hi” to “Lo” gear in order to pick up speed again. Players yearning for even more to think about can attempt to collect flags. Each one yields a few points, but when picked up in a specified sequence, bonus points are earned for a short period. A hidden football, if found and hit, pushes the score even higher. Tracks mostly consist of three lanes, but are occasionally constricted by tunnels or bridges. Thankfully, roadside signage provides just enough warning to get in lane. But Buggy Boy couldn’t be farther from freeway delays, and thanks to its diversity, responsive handling, and focus on fun, is far more than just another racing game."
Bully Original,2006,PS2,Rockstar,Action / Adventure,"Inspired by the likes of ZX Spectrum game Skool Daze, Bully took its name from the fictional Bullsworth Academy where the action takes place, though it was given the less-controversial title Canis Canem Edit outside of the US—which actually gave a more accurate hint of the game’s content. For all Rockstar’s moral majority baiting attitude, this is a game that is, in many ways, a principled tale. Sure, there’s more beating to a pulp than sermonizing from the pulpit, but this is a game that encourages players to stand up to the bullies, whoever they are. You can mess about in lessons thanks to a raft of mini-games which encapsulate everything from art class to darts, while outside of lessons the action is similar to Bully’s bigger brothers. This is all the freeform mayhem that we have come to expect from Rockstar, except set in the playground. Would-be playground daddies have to negotiate the tricky challenges of romance and the social bear pit of the school corridors, and forge alliances with the different factions in the game, such as the Nerds, the Greasers, and the Jocks. Bully is far from child’s play."
Burning Rangers Original,1998,Saturn,Sonic Team,Action,"The irony of Burning Rangers, a game about high-tech firefighters, is that it showed up too late to save the Sega Saturn. The ill-fated console was running on fumes by 1998, having been crushed in the marketplace by Sony’s PlayStation. Burning Rangers was a product of Sega’s own Sonic Team development studio, the group responsible for the Sonic the Hedgehog phenomenon. If anything could rescue the Saturn, it would be this. Burning Rangers is a fun and unique game, not least because of its premise. It plays like a typical third-person shooter in many ways, except that your opponent is a highly unpredictable and ravenous fire. Dousing the flames generates crystals, which are a resource that can then be used to teleport victims to safety. As with the rings in Sonic the Hedgehog, crystals in Burning Rangers are your lifeblood. Getting scorched will cause you to lose all the crystals you’re carrying, but you can scoop them back up. As long as you’re carrying at least one, you won’t die. With only four levels, Burning Rangers is short, but elements of randomness keep additional play throughs feeling fresh, by positioning both victims and fires in different locations. Flames explode from unlikely places, signaled by a sound cue you will come to fear. Although navigation can be difficult in the absence of a mini-map, light platforming elements ease the pain somewhat, with acrobatic moves like double-jumps and air dashes. Plus, a split-screen multiplayer mode offers an entertaining change of pace. Burning Rangers arrived to hype but few sales, and before long the Saturn would be dead and buried. That leaves Burning Rangers as just another historical footnote for a console rife with them."
Burnout 2: Point of Impact Original,2002,Various,Criterion Games,Driving,"Burnout opened up the throttle and snarled its way on to the video game motoring scene with all the youthful enthusiasm of a young Lightning McQueen and the destructive nihilism of Mad Max. At a time when the fashion in racing was for real-world physics, processional AI, and dull driving tests, Criterion’s game opted for arcade-styled exuberance and hyperintense high-speed thrills, where the car-porn crashes were just as important as the right racing line. This is a game in which drivers are encouraged to live dangerously or die trying in slo-mo scenes of shearing metal and twisting, burning wreckage. Sequel Burnout 2: Point of Impact picked up on the popular appeal of those collisions, making them even more prominent by introducing a Crash mode that plays like a demented, damaged version of bowling with cars. The main racing mode, though, remains, in essence, the same as its predecessor: roaring around busy roads, weaving slightly too close to the traffic, swerving round corners, and flying over jumps to charge your boost meter and secure the extra miles-per-hour needed to nose in front of the opposition. It does what video games do best: allow players to experience something that is impossible to experience in real life—and certainly inadvisable to even attempt, as so many pre-game warning screens soberly inform us nowadays. Burnout 2: Point of Impact helped to free the entire racing genre from the shackles of realism, paving the way for the likes of Sega’s glorious resurrection of OutRun and the muddy mayhem of the PlayStation 3’s MotorStorm. There is, of course, a place for realism in gaming, but if that’s what you’re looking for, the risk-filled roads of Burnout 2: Point of Impact are most definitely not it."
Burnout Paradise Original,2008,Various,Criterion Games,Driving,"Even to its fans, Burnout was in danger of living up to its own name. Ever since developer Criterion joined the EA family—though not necessarily because of it—the celebrated battle racing series had been supercharged to breaking point. Rewards and ephemera would vie with oncoming traffic for screen space, the wants of an attention-deficient mainstream sitting awkwardly with the needs of a slick but philosophical racing game. Surely at this speed and with this many people tugging at the wheel, an accident lay just around the corner. Yet at a rumored cost of $50 million, Burnout Paradise, the seventh game in the series, is a death-defying stunt of which Evel Knievel himself would be proud. An open-world Burnout, it isn’t just a sequence of tracks but a sprawling, unbroken junction. Covering five boroughs, twenty-six square miles, and multiple terrains, Paradise City provides the ultimate answer to the question: Which way now? It leaves it up to you. Wherever you point the car, a gauntlet of traffic awaits. If you want to race, just stop at the relevant traffic lights. Or a time trial? Ditto. A crash challenge? Hit the switch at any time to just flip into a point-scoring roll, earning Crashbreaker bombs to rack up the damage. With a Freeburn mode that lets you switch just as easily into drop-in/drop-out multiplayer, Burnout Paradise offers freedom for its fans, but more important, for itself. An unprecedented run of downloadable content—dubbed “The Year of Paradise”—has added a sequel’s worth of features that might never have left the whiteboard: bikes, an online community hub, a day/night cycle, handling fixes, a long-awaited restart option, and an entire island are just some of the additions to be found, many based on feedback from players."
Bushido Blade Original,1997,PS1,Lightweight,Fighting,"Bushido Blade’s great innovation was simply to make a fighting game seem more like fighting. This was the first game to face up to the truth that few people walk away from a katana strike to the stomach. It’s perhaps understandable that this approach didn’t catch on. But Bushido Blade chooses to embrace this physical reality, and, in raising the stakes of every fight so high, succeeds in raising the intensity of the combat to a fever pitch. The need for caution is emphasized by the game’s health system, which isolates each part of the combatant’s body so that a glancing blow to the arm will render that limb limp and useless. Take a stab to the leg and you will be forced to fight on bended knee, unable to run or manoeuvre, and a blow to the head or torso will call forth a crimson fountain and end both the match and your life. Bushido Blade’s maverick approach failed to inspire other fighting game developers to follow suit, and, indeed, a lackluster sequel revealed that perhaps the idea had already seen its ideal realization. For that reason, it remains the tensest fight to be had in video games."
Buzz Quiz TV Original,2008,PS3,Relentless Software,Quiz,"A video game quiz show was always going to work, but that doesn’t mean it had to work as well as Buzz Quiz TV. For some, it’s all down to the chunky plastic buzzers that come packaged with the game, for others it’s the Muppet-headed presence of cult favorite Jason Donovan as the snarky, shiny-suited question master. For most, the brilliant ticking heart of Relentless’s PlayStation best-seller is simply the raucous in-fighting and bickering it can bring to your livingroom sofa as you tussle over answers and use complex psychological tricks like sneering and snatching away the controllers to unsettle your familial opponents. Buzz Quiz TV offers the wholly expected HD makeover as the aging series makes its debut on the PS3. However, on this occasion the real star of the show is the ability for players to construct their very own quizzes and organize them into party-friendly playlists. The integration with the new Buzz Quiz TV website is smart and pretty much seamless—indeed, within a matter of minutes of unpacking the game, even the least technically savvy of contestants will be piecing together quick-fire buzzer rounds built around family pets, hereditary illnesses, or even the hereditary illnesses of family pets. The pace is fast, the visuals are stylish, and, as the host, Donovan has just the right tone of mean-spirited smarm. Buzz Quiz TV may not be a recipe for the most complicated and challenging of evenings in, then, but it can probably be counted on to provide one of the loudest. An elegant rebuttal to all who find the sleek, black PS3 a little too stylish and impersonal for its own good, Relentless’s chart topper is also a clarion call to anybody who thinks video games lead only to lives of moody introspection and miserable isolation."
California Games Original,1987,Various,Epyx,Sports,"In the dreary, backward Britain of the 1980s, when the most exciting thing imaginable was either a computer game or a trip to the sandy beaches of the United States, Epyx’s California Games was a ray of genuine sunshine: a brace of cool, West Coast sports to be enjoyed by players living under the gray skies of British resorts and industrial towns, combined with a generous chance to bask in the rays of sun that burst forth from the computer monitor. Compilation games being in vogue at the time—Epyx had already released collections entitled Summer Games and Winter Games, while action titles like Beach Head and Raid Over Moscow would often play out as a series of levels each with their own bizarre mechanics and rules—California Games allowed players to indulge in a little rollerskating, BMX riding, and half-piping, as well as more traditionally Californian activities, like surfing. Other offerings were a little stranger—the entertainment factor in a good old round of “footbag” can be rather disconcertingly hard to isolate, regardless of where you happen to be in the world at the time—and suggest that the ideas might have been a little thin on the ground when the idea of this particular games package was pitched. This is still a very generous title, though, and a few of its sports—surfing, in particular—are among the best included on any Epyx compilation. You’re most likely to play California Games today as a middle-aged character searching for a doorway back to your wasted youth, and, the truth is, between the Mario & Sonic Olympics titles and Electronic Arts’s fare, there are now far more competent selections available for those not riddled with melancholy nostalgia. But where were they back in the 1980s, eh?"
Call of Duty 2 Original,2005,Various,Infinity Ward,First-Person Shooter,"Steven Spielberg’s Saving Private Ryan has been slavishly copied by dozens of games, all seeking to be louder, more realistic, and more poignant than the game next door. Call of Duty 2, though, has a quality gamers crave even more: momentum. This World War II game is all about the storm. Telling the stories of soldiers in three different theaters of war, it hops from the Battle of Stalingrad to El Alamein, Egypt, Tunisia, and finally the push from Normandy to the Rhine. There’s barely a breath to be caught between them. Whenever you’re not fighting, you’re thinking about who to fight. Whenever you’re not being shot, you’re recharging. If you’re comfortable behind cover, then a grenade will land in your lap. Call of Duty 2 owes some of its success to timing. This Xbox 360 launch title was the first to match the experience of PC enthusiasts. Its sound is nothing short of a blitzkrieg, and its high-definition visuals add a layer of precision to match its large, tumultuous battlefields. Above all, it’s happy to be nothing more than what a good soldier should be: a tirelessly efficient killing machine."
Call of Duty 4: Modern Warfare Original,2007,Various,Infinity Ward,First-Person Shooter,"Ian Fleming said of James Bond: “Exotic things would happen to and around him, but he would be a neutral figure—an anonymous, blunt instrument wielded by a government department.” Consider that a rebuke to the theory that Call of Duty 4: Modern Warfare, with its charmless heroes hidden behind layers of army field equipment, is somehow unfit for 00 status. Let’s run through what takes place in Infinity Ward’s sequel: a globetrotting hunt for a Russian ultranationalist, a breathless escape from a sinking cargo ship, a sniper assassination, a race against the clock to diffuse terrorist nuclear missiles, a showdown with a helicopter gunship, and, just when you’re thinking it’s over, a three-minute dash through a hijacked passenger plane that, naturally, you exit at 30,000 feet. That’s half the story. The rest is left to intense, stylish missions that blast their way through all the places, buzzwords, and money shots of televised combat. Chief among the latter is the AC-130 bombing mission, which imitates surreal government-sanctioned, network news-friendly clips of enemies being annihilated. In fuzzy black-and-white and with unsettling accuracy, shiny antlike people are vaporized by puffs of incandescent flame. Modern Warfare or modern warfare? On this rare occasion, it’s hard to tell the difference. A massively successful multiplayer shooter, Call of Duty 4 set the Guinness World Record for Most Played Online Video Game in 2009. This is partly due to a smart, savvy, and responsive studio, and also to an ongoing dialogue between Infinity Ward and its fans. But it’s more a testament to just taking multiplayer seriously and making something you’d just as soon play as sell."
Call of Duty Original,2003,"PC, Mac ",Infinity Ward,First-Person Shooter,"The first iteration of the famed Call of Duty series remains a tight, violent, and thrilling experience. Divided into three campaigns—for British, American, and Russian perspectives on the war—it was filled with ambitious set pieces and inventive combat scenarios, each designed to suit their protagonists. The opening of the Russian campaign, in which Red Army soldiers are transported, unarmed, across the Volga river into the besieged city of Stalingrad, via barges, remains one of the most intense experiences shooters have to offer. Call of Duty’s storytelling device—dividing the game up into the experiences of several different soldiers in entirely different theaters of war—remains at the heart of the series today. The reason this model is so successful in Call of Duty, however, is down to the intensity with which the experiences of combat are delivered. The adapted and enhanced id Tech 3 engine, previously used in Quake III, is extremely efficient at portraying close-quarters combat, but it also enables the Infinity Ward team to incorporate a brutal shell shock effect from the impact of large-caliber weapons and explosives. While previous shooters had portrayed many of the same scenes from World War II, none had been able to make an MG42 roar with such violence or make the experience of cowering behind a dead cow for cover so terrifying. The Stalingrad sequences show the lengths to which the Quake III technology has been pushed, with hundreds of soldiers on-screen, and a huge cityscape displayed as the assault pushes forward. It’s rare that the first game in a popular series remains a contender with its sequels, but this is one of those special cases. Call of Duty remains undoubtedly one of the greatest shooters ever made."
Call of Duty: Modern Warfare 2 Original,2009,Various,Infinity Ward,First-Person Shooter,"The best-selling sequel to the best-selling original, Call of Duty: Modern Warfare 2 is the video gaming equivalent of a Bond movie. At times, it’s an actual Bond movie. Developer Infinity Ward has worked on the series since its founding in 2002, and with Call of Duty: Modern Warfare brought its pyrotechnics bang up-to-date while simultaneously crafting the most popular, and some would say greatest, FPS multiplayer experience on this generation of consoles. Modern Warfare 2’s aim is simple: bigger and better. Its single-player campaign is under the influence of its predecessor rather too much. Indisputably it is blemished by the controversial and clumsy airport level (in which you gun down civilians), though even this provides some thrilling ideas and spectacular moments. More inspired is the Spec Ops mode, which lets you and a chum shoot, sneak, and explode your way through twenty-three of the best moments from both Modern Warfare games. Here you confront a hair-raising litany of explosions and panicked communications as you try to protect your friend from an orbiting AC-130 gunship, or during a silent and tense creep through snow and past dog patrols. But it’s when playing against other people that Call of Duty: Modern Warfare 2 really finds its feet, and can’t be faulted. It’s one of the deepest multiplayer shooter experiences, with a rewarding leveling system that responds to every style of play, and constantly unlocks new goodies and accessories for your choosing. The ability to create any type of soldier you wish leads to infinite tinkering between rounds, and a game that not only suits but positively encourages individual styles of play. Modern Warfare 2 is a behemoth of the FPS landscape, and a shooter that tangibly rewards investment like few others."
Canabalt Original,2009,Various,Semi Secret,Adventure,"Originally a hit as a free Flash game, Canabalt casts the player as a lone man outrunning the apocalypse. You never learn what you’re running from, although the giant tripodlike monsters on the horizon give one clue. As for safety, you’ll never reach it. From rooftop to girder to office corridor, with rockets falling from the sky and flocks of pigeons erupting at your feet, your only goal is to keep running—while jumping over the gaps and debris that could slow your momentum or stop you dead. Crisp grayscale graphics feed the impression of speed, and when the end comes, your epitaph is brief: It’s simply a report of the distance you covered before you died. Designer Adam Saltsman built the game in just under a week for the Experimental Game play Project, entering it in a competition with the theme “Bare Minimum.” True to the theme, Canabalt’s simplicity is its greatest strength. The sessions are short and relentless, and the sequence of obstacles changes every time—there’s nothing to do at the end but try again. Quick, addictive, and most of all, thrilling, Canabalt hits the sweet spot for casual gaming."
Cannon Fodder Original,1993,Various,Sensible Software,Strategy / Action,"Back in the early ’90s, Sensible Software was a true maverick of the UK development scene, churning out 2-D classics like Sensible World of Soccer and Mega Lo Mania, all loaded with anarchic humor. With its pinpoint level design, detailed visuals, and tasteless jokes, Cannon Fodder provided the quintessence of the developer’s approach. Combining elements of the shoot ’em up and realtime strategy genres, Cannon Fodder requires gamers to guide a group of up to eight soldiers through seventy-two areas, shooting enemy soldiers, blowing up buildings, and rescuing hostages. Soldiers are directed via a point-and-click interface rather than direct control, and can be split into three separate squads in order to complete more tactically demanding levels. The group management elements are deceptively complex, allowing the sharing of key weapons between squads and tactics, such as holding areas or surrounding enemy emplacements. The brilliance of the game lies its nondidactic sandbox design, where players could roam at will. Players are given the tools to complete each level (including grenades, rocket launchers, and various vehicles, as well as the odd “supa dupa” power-up), but there are multiple routes to victory, echoing the emergent, open-ended approach of contemporaries such as Lemmings and Dune II. But Cannon Fodder will also be remembered for its singular sense of humor. Beginning with a theme tune entitled “War Has Never Been So Much Fun,” and ending each level by showing the graves of fallen comrades, the game is a sniggering satire on the glorification of war, with an underlying pacifistic message. Acclaimed by critics, Cannon Fodder is also revered by fans as one of the defining 16-bit computer games."
Capcom vs. SNK: Millennium Fight 2000 Original,2000,"Arcade, Dreamcast ",Capcom,Fighting,"Though SNK’s King of Fighters series has never quite gained the traction that Street Fighter managed, the concept behind Capcom vs. SNK: Millennium Fight 2000 is still instantly understandable. This is the two biggest 2-D fighting game developers pitting the pick of their rosters against each other. This wasn’t the first game in the series, but it was the first to be an arcade game, which is, of course, its natural home. The big decision was to adopt the SNK control system of four buttons (light/hard punch, light/hard kick) rather than the six buttons used by Capcom games, but the collision system and physics resemble Street Fighter much more closely, so it’s a hybrid rather than a choice. But the rival companies don’t shy away from going toe-to-toe: At the start of the game you can choose which “groove” you want to play in, Capcom or SNK, and this will affect the kind of super attacks your characters can perform. There was even a new structure for fights, one that remains unique: a team battle in which you have to fill four slots, with each character being worth a certain number of blocks. (Cammy is one block, for example; Ryu and Terry Bogard are worth two; Rugal is three blocks; Akuma or lori are four.) It’s a more obvious tactical leaning toward team battling than any other game allows, and it lets players state their intentions before the round has begun. Does it need to be said that beneath all these layers, this is a brilliant fighting game? Bringing together the best of each company, with a refreshing lack of preciousness about their characters and systems, Capcom vs. SNK: Millennium Fight 2000 is one of the very best in the series, and just a big beautiful rumble in its own right."
Captain Forever Original,2009,Internet,Farbs,shoot ’Em Up,"Captain Forever succeeds in innovating on multiple levels, while resting on the creator’s deconstructionary tendencies and love of retro aesthetics. You start as a small spaceship, complete with an arcade-neon glow appropriated by Captain Forever’s main inspiration, Hikware’s Warning Forever. You fly around, blowing apart opponents. Any of the remaining pieces can be picked up and attached to your ship. The action alternates seamlessly between being an inertia-heavy shooter and a construction game. How large will you make your ship? At which point should you consider upgrading? What do you do when half your vessel’s been blown asunder and you’re desperately trying to rebuild while being bombarded by horrors seemingly birthed from an ’80s arcade game? Even in its business model, Captain Forever innovates. It’s solely available as a Web browser game, with a fee granting access to an improved version of the game—a way to minimize any chance of piracy, create a community, and fund Farbs’s future plans."
Carcassonne Original,2007,Xbox 360,Sierra On-Line,Adaptation / Strategy,"In the early days of Xbox Live Arcade, the sheer novelty of a new game appearing every Wednesday was so incredible that players routinely subjected themselves to some genuinely bizarre wastes of time, in the manner of lab rats willingly lining up for chemo trials. While Carcassonne would superficially seem to fall into that category, this is, in fact, a polished and uncomfortably addictive title. Named after a medieval French town, the whole thing actually began life as a German board game. What was originally an enjoyable, award-winning tabletop game is enhanced and, arguably, perfected as a video game. The almost iconic cardboard and wooden “meeples” are made into a rich virtual experience. Carcassone’s a simple tile-placing game in which players lay out a series of cards, slowly generating a complex medieval terrain filled with roads, cities, and cloisters, and occasionally positioning “follower” pieces to claim ownership of a particular tract of the emerging territory. The game ends when the last card has been placed and scored in a manner that initially seems rather elaborate and baffling, but which quickly becomes second nature. It’s a very nice way to spend an afternoon, and the Xbox Live version makes things even easier, shuffling and collecting the cards, allowing for a slightly more fulsome sense of place, and taking care of the irritating—and often controversial—aspects of group games, like working out whose turn it is next, and deciding who has won. With expansions available and both online and offline multiplayer catered for, Carcassonne was a surprise hit, garnering very positive reviews. With a free demo available, it is a game nobody should miss out on playing, no matter how unappealing it initially seems. "
